method	setting	stratum	folds	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ULTRA-f_zeroshot_owl2vecstar	calibrated	zero overlap	10	1184.169388	61.605023	0.068950	0.007799	0.036869	0.007640	0.077197	0.010185	0.127711	0.014824	0.294534	0.026434	0.730976	0.014008
ULTRA-f_zeroshot_owl2vecstar	calibrated	some overlap	10	444.749016	48.820380	0.089309	0.011128	0.031534	0.010826	0.086223	0.018257	0.198585	0.021440	0.588858	0.026577	0.899102	0.011101
ULTRA-f_zeroshot_owl2vecstar	calibrated	all	10	857.619162	44.391649	0.077942	0.006219	0.034547	0.006691	0.081237	0.008973	0.158958	0.006540	0.424353	0.018152	0.805225	0.010094
ULTRA-f_zeroshot_owl2vecstar_gda	calibrated	zero overlap	10	1018.629966	60.207725	0.066685	0.007340	0.032040	0.008299	0.070800	0.010392	0.130616	0.013809	0.332350	0.022716	0.768615	0.013690
ULTRA-f_zeroshot_owl2vecstar_gda	calibrated	some overlap	10	473.075273	48.148683	0.070489	0.007968	0.022893	0.006216	0.062425	0.012314	0.162223	0.020899	0.535796	0.028791	0.892661	0.010948
ULTRA-f_zeroshot_owl2vecstar_gda	calibrated	all	10	777.953598	44.477690	0.068353	0.005904	0.028010	0.005901	0.067095	0.008325	0.144543	0.013648	0.422132	0.018941	0.823339	0.010113
ULTRA-s_zeroshot_owl2vecstar	calibrated	zero overlap	10	2175.979056	57.356574	0.005142	0.003461	0.002421	0.003421	0.003807	0.004059	0.004871	0.004493	0.038751	0.006113	0.505462	0.013042
ULTRA-s_zeroshot_owl2vecstar	calibrated	some overlap	10	543.252039	57.620523	0.074948	0.007129	0.020420	0.007127	0.070492	0.011387	0.177976	0.020942	0.560244	0.024653	0.876705	0.013102
ULTRA-s_zeroshot_owl2vecstar	calibrated	all	10	1454.975168	50.968930	0.035954	0.004630	0.010364	0.003645	0.033217	0.006468	0.081291	0.011783	0.268986	0.015622	0.669401	0.011589
ULTRA-s_zeroshot_owl2vecstar_gda	calibrated	zero overlap	10	2139.825177	49.285594	0.004521	0.003184	0.001063	0.002527	0.003524	0.003305	0.007545	0.005491	0.038561	0.005865	0.513682	0.011206
ULTRA-s_zeroshot_owl2vecstar_gda	calibrated	some overlap	10	568.516846	61.010119	0.049087	0.008367	0.001434	0.004534	0.039761	0.016771	0.151689	0.021996	0.521084	0.031033	0.870960	0.013872
ULTRA-s_zeroshot_owl2vecstar_gda	calibrated	all	10	1446.034988	51.945979	0.024150	0.003874	0.001212	0.002261	0.019393	0.006458	0.071045	0.011248	0.251712	0.017645	0.671434	0.011811
ULTRA-fs_zeroshot_owl2vecstar	calibrated	zero overlap	10	1509.592384	63.044461	0.029988	0.004608	0.013964	0.004150	0.029139	0.005554	0.053455	0.010041	0.193061	0.021465	0.656982	0.014335
ULTRA-fs_zeroshot_owl2vecstar	calibrated	some overlap	10	489.562389	57.759930	0.077712	0.008973	0.024442	0.008847	0.075807	0.013551	0.183467	0.019388	0.568774	0.025351	0.888913	0.013133
ULTRA-fs_zeroshot_owl2vecstar	calibrated	all	10	1059.316792	55.357434	0.051033	0.004883	0.018579	0.004093	0.049731	0.006790	0.110849	0.013101	0.358812	0.016662	0.759364	0.012587
ULTRA-fs_zeroshot_owl2vecstar_gda	calibrated	zero overlap	10	1415.833813	55.496973	0.039467	0.004077	0.016611	0.002867	0.039250	0.004473	0.078145	0.012715	0.238779	0.020018	0.678301	0.012619
ULTRA-fs_zeroshot_owl2vecstar_gda	calibrated	some overlap	10	515.723999	60.774751	0.066677	0.008029	0.020440	0.009237	0.058856	0.010082	0.156597	0.020736	0.522726	0.029552	0.882964	0.013819
ULTRA-fs_zeroshot_owl2vecstar_gda	calibrated	all	10	1018.707438	54.943804	0.051475	0.004934	0.018301	0.003935	0.047915	0.006300	0.112764	0.014837	0.364125	0.020121	0.768598	0.012493
