method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ConvKB-D-pfs_owl2vecstar	graph_dump	raw	zero overlap	10	4399	2283.128094	62.929266	0.003632	0.001118	0.000223	0.000706	0.001115	0.001578	0.005834	0.003173	0.057176	0.010681	0.481099	0.014309
ConvKB-D-pfs_owl2vecstar	graph_dump	raw	some overlap	10	4399	356.929445	43.917029	0.088162	0.021377	0.043453	0.019664	0.086245	0.024652	0.170861	0.027661	0.466337	0.032125	0.919070	0.009986
ConvKB-D-pfs_owl2vecstar	graph_dump	raw	all	10	4399	1655.812108	75.777377	0.031200	0.007097	0.014361	0.006628	0.028830	0.008072	0.059590	0.009187	0.190570	0.018113	0.623735	0.017230
ConvKB-D-pfs_owl2vecstar	graph_dump	calibrated	zero overlap	10	4399	869.880594	56.784291	0.017429	0.002221	0.001815	0.001394	0.008637	0.003823	0.038929	0.008196	0.268605	0.026614	0.802437	0.012911
ConvKB-D-pfs_owl2vecstar	graph_dump	calibrated	some overlap	10	4399	257.362589	35.003156	0.082951	0.010375	0.032309	0.008837	0.072837	0.016348	0.181421	0.020743	0.585384	0.033385	0.941709	0.007959
ConvKB-D-pfs_owl2vecstar	graph_dump	calibrated	all	10	4399	670.069084	46.099501	0.038731	0.004283	0.011715	0.002992	0.029532	0.005160	0.085232	0.010822	0.371763	0.026335	0.847870	0.010482
ConvKB-D-pfs_owl2vecstar	train_csv	raw	zero overlap	10	4399	2495.755431	46.319363	0.002028	0.000573	0.000000	0.000000	0.000267	0.000843	0.002721	0.002599	0.033619	0.011063	0.432752	0.010532
ConvKB-D-pfs_owl2vecstar	train_csv	raw	some overlap	10	4399	592.997291	82.570140	0.067989	0.014910	0.032444	0.014518	0.064809	0.016819	0.131476	0.017707	0.388921	0.026614	0.865394	0.018774
ConvKB-D-pfs_owl2vecstar	train_csv	raw	all	10	4399	1655.812108	75.777377	0.031200	0.007097	0.014361	0.006628	0.028830	0.008072	0.059590	0.009187	0.190570	0.018113	0.623735	0.017230
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	872.712392	49.035977	0.017009	0.002644	0.001917	0.001325	0.007971	0.004118	0.037469	0.008689	0.264584	0.025657	0.801793	0.011150
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	some overlap	10	4399	413.670095	69.308881	0.066198	0.008287	0.024039	0.006426	0.056761	0.012649	0.145816	0.017164	0.507596	0.036838	0.906169	0.015759
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	all	10	4399	670.069084	46.099501	0.038731	0.004283	0.011715	0.002992	0.029532	0.005160	0.085232	0.010822	0.371763	0.026335	0.847870	0.010482
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	raw	zero overlap	10	4399	2353.652901	64.571803	0.004172	0.001677	0.000905	0.001600	0.001805	0.002514	0.007135	0.003776	0.050823	0.012353	0.465063	0.014682
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	raw	some overlap	10	4399	354.655568	44.974708	0.082540	0.011952	0.035899	0.011650	0.081869	0.011110	0.167366	0.020000	0.478135	0.043904	0.919587	0.010226
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	raw	all	10	4399	1702.182826	64.721862	0.029670	0.004447	0.012308	0.004505	0.027804	0.004346	0.059301	0.006965	0.189816	0.018463	0.613192	0.014716
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	calibrated	zero overlap	10	4399	855.236511	50.094616	0.019934	0.003955	0.003617	0.002414	0.012733	0.005796	0.039694	0.010564	0.261548	0.025347	0.805767	0.011390
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	calibrated	some overlap	10	4399	247.890378	31.717131	0.086349	0.009756	0.034553	0.009993	0.076335	0.014320	0.192501	0.024885	0.594778	0.046058	0.943863	0.007212
ConvKB-D-pfs_owl2vecstar_gda	graph_dump	calibrated	all	10	4399	657.426252	42.481932	0.041617	0.005066	0.013790	0.003836	0.033480	0.006859	0.089438	0.013464	0.370060	0.027883	0.850744	0.009659
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2574.944625	55.746810	0.001636	0.000346	0.000000	0.000000	0.000000	0.000000	0.001896	0.002224	0.026115	0.009449	0.414747	0.012675
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	597.808132	79.290265	0.065177	0.010201	0.027893	0.010213	0.063048	0.009947	0.131993	0.016317	0.397154	0.036719	0.864300	0.018029
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	all	10	4399	1702.182826	64.721862	0.029670	0.004447	0.012308	0.004505	0.027804	0.004346	0.059301	0.006965	0.189816	0.018463	0.613192	0.014716
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	861.213950	51.292553	0.018612	0.003708	0.003001	0.002970	0.010981	0.005741	0.037988	0.011832	0.254267	0.026148	0.804408	0.011663
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	399.796628	59.177605	0.070705	0.008839	0.027365	0.007961	0.061993	0.012318	0.154526	0.022707	0.516727	0.043412	0.909323	0.013456
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	all	10	4399	657.426252	42.481932	0.041617	0.005066	0.013790	0.003836	0.033480	0.006859	0.089438	0.013464	0.370060	0.027883	0.850744	0.009659
