modality	projection	aggregation	setting	fold	mr	mrr	hits@1	hits@3	hits@10	hits@100	auc
expr	owl2vecstar	bma	calibrated	0	1387.426984126984	0.03981323616322194	0.015873015873015872	0.0380952380952381	0.0761904761904762	0.2857142857142857	0.685447991426623
expr	owl2vecstar	bma	calibrated	1	1457.8689801699716	0.040594539767469205	0.012747875354107648	0.032577903682719546	0.09915014164305949	0.2804532577903683	0.669346529310357
expr	owl2vecstar	bma	calibrated	2	1501.0268404907974	0.0413535059977901	0.013803680981595092	0.04294478527607362	0.09202453987730061	0.2714723926380368	0.6596037756768478
expr	owl2vecstar	bma	calibrated	3	1488.6332807570977	0.037952626805118725	0.012618296529968454	0.03627760252365931	0.07570977917981073	0.26813880126182965	0.662420230293234
expr	owl2vecstar	bma	calibrated	4	1410.8771251931994	0.03645375153055376	0.012364760432766615	0.03400309119010819	0.07264296754250386	0.2828438948995363	0.6800997697593909
expr	owl2vecstar	bma	calibrated	5	1492.5299270072992	0.031156347068951783	0.008759124087591242	0.029197080291970802	0.06861313868613139	0.24233576642335766	0.661494566615173
expr	owl2vecstar	bma	calibrated	6	1462.4886191198786	0.03926239422043575	0.009104704097116844	0.0409711684370258	0.09711684370257967	0.2867981790591806	0.668338541557072
expr	owl2vecstar	bma	calibrated	7	1538.5635658914728	0.029467644391649735	0.004651162790697674	0.023255813953488372	0.08062015503875969	0.2527131782945736	0.6510615520440693
expr	owl2vecstar	bma	calibrated	8	1415.062310030395	0.029336590413518035	0.0060790273556231	0.025835866261398176	0.06534954407294832	0.2674772036474164	0.6791150378885502
expr	owl2vecstar	bma	calibrated	9	1395.2740458015267	0.034149640681669764	0.007633587786259542	0.02900763358778626	0.08549618320610687	0.25190839694656486	0.6836259628749768
expr	owl2vecstar	bma	raw	0	2410.1079365079363	0.0412104734818733	0.022222222222222223	0.04126984126984127	0.0746031746031746	0.18412698412698414	0.4529651399849172
