overlap_source	method	setting	stratum	folds	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	zero overlap	10	1115.924986	60.160674	0.065677	0.004801	0.031828	0.003261	0.066468	0.008377	0.128968	0.010896	0.355141	0.018482	0.746493	0.013679
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	some overlap	10	205.165501	17.842149	0.092529	0.013251	0.033324	0.013778	0.086009	0.019660	0.213447	0.027407	0.655294	0.041799	0.953578	0.004057
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	all	10	819.531366	51.416367	0.074315	0.005053	0.032295	0.003710	0.072662	0.008924	0.156306	0.012615	0.452725	0.018076	0.813886	0.011691
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	zero overlap	10	1055.610916	53.773021	0.049999	0.002915	0.019388	0.006624	0.046054	0.005287	0.107663	0.012819	0.339963	0.016125	0.760207	0.012227
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	some overlap	10	215.639377	16.761775	0.081939	0.011806	0.025445	0.009666	0.073950	0.015321	0.193574	0.027192	0.624213	0.041490	0.951196	0.003811
graph_dump	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	all	10	782.241750	47.173944	0.060335	0.004578	0.021349	0.004701	0.055020	0.006871	0.135437	0.011955	0.432339	0.016412	0.822364	0.010726
train_csv	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	zero overlap	10	1102.703100	67.622084	0.072893	0.005783	0.036480	0.003404	0.074134	0.008697	0.142160	0.012837	0.372869	0.020973	0.749499	0.015376
train_csv	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	some overlap	10	460.925184	58.713103	0.076250	0.009047	0.027054	0.009475	0.070888	0.013675	0.174548	0.023337	0.553601	0.033743	0.895424	0.013350
train_csv	ULTRA-pfs_zeroshot_owl2vecstar	calibrated	all	10	819.531366	51.416367	0.074315	0.005053	0.032295	0.003710	0.072662	0.008924	0.156306	0.012615	0.452725	0.018076	0.813886	0.011691
train_csv	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	zero overlap	10	1024.857839	58.595499	0.054720	0.003532	0.021821	0.007257	0.050149	0.005859	0.117816	0.014985	0.357240	0.019468	0.767199	0.013323
train_csv	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	some overlap	10	474.768276	62.451501	0.067559	0.008787	0.020816	0.006434	0.061325	0.011964	0.158094	0.023317	0.527203	0.031942	0.892276	0.014200
train_csv	ULTRA-pfs_zeroshot_owl2vecstar_gda	calibrated	all	10	782.241750	47.173944	0.060335	0.004578	0.021349	0.004701	0.055020	0.006871	0.135437	0.011955	0.432339	0.016412	0.822364	0.010726
