method	setting	stratum	folds	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ULTRA-pfs zero-shot (GDAProjector)	calibrated	zero overlap	10	1055.610916	53.773021	0.049999	0.002915	0.019388	0.006624	0.046054	0.005287	0.107663	0.012819	0.339963	0.016125	0.760207	0.012227
ULTRA-pfs zero-shot (GDAProjector)	calibrated	some overlap	10	215.639377	16.761775	0.081939	0.011806	0.025445	0.009666	0.073950	0.015321	0.193574	0.027192	0.624213	0.041490	0.951196	0.003811
ULTRA-pfs zero-shot (GDAProjector)	calibrated	all	10	782.241750	47.173944	0.060335	0.004578	0.021349	0.004701	0.055020	0.006871	0.135437	0.011955	0.432339	0.016412	0.822364	0.010726
