method	setting	stratum	folds	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ULTRA-pfs zero-shot (OWL2Vec*)	calibrated	zero overlap	10	1115.924986	60.160674	0.065677	0.004801	0.031828	0.003261	0.066468	0.008377	0.128968	0.010896	0.355141	0.018482	0.746493	0.013679
ULTRA-pfs zero-shot (OWL2Vec*)	calibrated	some overlap	10	205.165501	17.842149	0.092529	0.013251	0.033324	0.013778	0.086009	0.019660	0.213447	0.027407	0.655294	0.041799	0.953578	0.004057
ULTRA-pfs zero-shot (OWL2Vec*)	calibrated	all	10	819.531366	51.416367	0.074315	0.005053	0.032295	0.003710	0.072662	0.008924	0.156306	0.012615	0.452725	0.018076	0.813886	0.011691
